Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;in. conf. de Computação Paralela;Alfa;Desvio padrão;Tamanho;;;;;;;;;;;;;;;;
pth;4;128;0,001265;0,000270;0,001543;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001262;0,000269;0,001538;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,004879;0,001098;0,005985;0,006582;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,007563;0,000981;0,008557;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,004833;0,000980;0,005822;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,006562;0,001668;0,008241;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,008010;0,001006;0,009023;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,009324;0,001538;0,010872;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,004893;0,000981;0,005884;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,010013;0,001539;0,011566;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,004862;0,000985;0,005856;;;;;;;;;;;;;;;;;;;;;
pth;4;256;0,004879;0,000985;0,005873;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,023662;0,003855;0,027531;0,023484;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,024969;0,007484;0,032475;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,023076;0,007317;0,030412;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,022473;0,007901;0,030397;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,023383;0,009162;0,032565;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,021947;0,008289;0,030260;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,023592;0,003883;0,027494;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,024160;0,003900;0,028084;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,024903;0,003899;0,028823;;;;;;;;;;;;;;;;;;;;;
pth;4;512;0,022671;0,003928;0,026620;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,079532;0,022881;0,102430;0,079681;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,078750;0,024820;0,103592;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,081894;0,022329;0,104245;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,078044;0,022434;0,100494;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,080964;0,017106;0,098089;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,081234;0,018743;0,099998;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,079806;0,023688;0,103513;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,080152;0,021687;0,101858;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,077151;0,020630;0,097799;;;;;;;;;;;;;;;;;;;;;
pth;4;1024;0,079284;0,016408;0,095710;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;2048;0,308503;0,081864;0,390390;0,312822;;;;;;;;;;;;;;;;;;;;
pth;4;2048;0,306098;0,081599;0,387718;;;;;;;;;;;;;;;;;;;;;
